Time,Open,High,Low,Close
2019-12-24 03:00:00,-0.00050071,-0.0001899,-0.00075986,-0.00043193
2019-12-24 04:00:00,-0.00023793,-0.0001132,-0.00075214,-0.00038894
2019-12-24 05:00:00,-0.00078736,-0.0002814,-0.00078736,-0.00039781
2019-12-24 06:00:00,-0.00025705,-0.00023948,-0.00081727,-0.00030016
2019-12-24 07:00:00,-0.00026308,4.2e-07,-0.00149177,-0.00013182
2019-12-24 08:00:00,-3.759e-05,0.00023987,-0.00071429,-0.00035807
2019-12-24 09:00:00,-0.00023037,0.0001829,-0.00105195,7.521e-05
2019-12-24 10:00:00,-6.683e-05,0.00026839,-0.0008445,6.271e-05
2019-12-24 11:00:00,4.668e-05,0.00022585,-0.00058665,-0.00028681
2019-12-24 12:00:00,-0.00026317,4.938e-05,-0.00077052,-0.00038591
2019-12-24 13:00:00,-0.00034387,3.625e-05,-0.00073165,-0.00029168
2019-12-24 14:00:00,-0.00017314,0.00044354,-0.00109291,-0.00022371
2019-12-24 15:00:00,-0.0003686,0.00012319,-0.00266185,-0.00068523
2019-12-24 16:00:00,-0.00047693,0.00014486,-0.00075479,-0.00042561
2019-12-24 17:00:00,-0.00051581,0.00092997,-0.00126994,-0.00090712
2019-12-24 18:00:00,-0.00048596,0.00027228,-0.00079343,-0.00073431
2019-12-24 19:00:00,-0.00047163,0.00013363,-0.00074844,-0.00056793
2019-12-24 20:00:00,0.00070213,0.00070213,-0.0008354,-5.737e-05
2019-12-24 21:00:00,-1.976e-05,0.00013991,-0.00067748,-0.00025529
2019-12-24 22:00:00,-0.00025641,0.00021304,-0.00090764,-0.00074694
2019-12-24 23:00:00,-0.00069018,6.88e-06,-0.00088309,-0.00083972
2019-12-25 00:00:00,-0.00070996,0.00024224,-0.00078383,-0.00074836
2019-12-25 01:00:00,-0.00050061,8.646e-05,-0.00075779,-0.00051933
2019-12-25 02:00:00,-0.00058453,-0.0001156,-0.00091236,-0.00044934
2019-12-25 03:00:00,-0.00059351,0.00030041,-0.00083124,-0.00083124
2019-12-25 04:00:00,-0.00084457,-0.00012119,-0.00085723,-0.00062602
2019-12-25 05:00:00,-0.0006971,-0.0002286,-0.0006971,-0.00058773
2019-12-25 06:00:00,-0.00051843,-0.00017549,-0.00083374,-0.00049683
2019-12-25 07:00:00,-0.00048348,9.185e-05,-0.00098966,-0.00045482
2019-12-25 08:00:00,-0.00059024,4.461e-05,-0.00085455,-0.00036433
2019-12-25 09:00:00,-0.00046405,-6.476e-05,-0.00072765,-0.00042782
2019-12-25 10:00:00,-0.00037006,-5.242e-05,-0.00075341,-0.00043033
2019-12-25 11:00:00,-0.0004977,1.256e-05,-0.00057718,-0.00037199
